reserve,impressions,demand_factor,WE,WF,revenue_mean
28,2000,1.25,0,8,47.46030406396525
29,2000,1.25,0,8,49.15011844209764
30,2000,1.25,0,8,49.785463608655284
31,2000,1.25,1,7,51.443061017164275
32,2000,1.25,0,8,51.64897026733758
33,2000,1.25,0,8,51.618994260486296
34,2000,1.25,0,8,52.529358499234235
35,2000,1.25,0,8,52.81261255007861
36,2000,1.25,1,7,54.20583519754211
37,2000,1.25,0,8,54.124433708199774
38,2000,1.25,0,8,55.22377753794922
39,2000,1.25,0,8,56.2213869777549
40,2000,1.25,0,8,56.41156885950239
41,2000,1.25,0,8,55.870466616838215
42,2000,1.25,0,8,57.19092423185037
43,2000,1.25,0,8,56.93059696674936
44,2000,1.25,0,8,57.12390824528387
45,2000,1.25,0,8,58.360382971129255
46,2000,1.25,0,8,59.32872207539214
47,2000,1.25,0,8,59.25461056427929
48,2000,1.25,0,8,59.88743305195622
49,2000,1.25,0,8,59.801695120337314
50,2000,1.25,0,8,59.704107612277355
51,2000,1.25,1,7,60.502906666410475
52,2000,1.25,0,8,58.39371359751586
53,2000,1.25,0,8,60.527818117536896
54,2000,1.25,0,8,60.800263778322886
55,2000,1.25,0,8,59.76329309736322
56,2000,1.25,0,8,57.654368072529756
57,2000,1.25,0,8,59.713549977653344
58,2000,1.25,0,8,59.86434169842494
59,2000,1.25,0,8,61.436192702748755
60,2000,1.25,0,8,60.34695222627674
61,2000,1.25,0,8,61.05148278435129
62,2000,1.25,0,8,62.184884181542934
63,2000,1.25,0,8,61.62606185211843
64,2000,1.25,0,8,62.082679588921785
65,2000,1.25,0,8,61.62593218564643
66,2000,1.25,0,8,60.68778546915162
67,2000,1.25,0,8,61.453256098767824
68,2000,1.25,0,8,61.926267946868364
69,2000,1.25,0,8,61.245378571148855
70,2000,1.25,0,8,60.85822445441134
71,2000,1.25,0,8,61.599138803629415
72,2000,1.25,0,8,61.54568048578043
73,2000,1.25,0,8,63.11670881637474
74,2000,1.25,0,8,63.57767215682679
75,2000,1.25,0,8,62.93388738752813
76,2000,1.25,0,8,62.52987333473853
77,2000,1.25,0,8,61.19553086576213
78,2000,1.25,0,8,61.92925995125516
79,2000,1.25,0,8,61.59005042491328
80,2000,1.25,0,8,62.800444211481256
81,2000,1.25,0,8,60.25001917529997
82,2000,1.25,0,8,61.092702739927645
83,2000,1.25,0,8,59.191393342537225
84,2000,1.25,0,8,61.465607122124325
85,2000,1.25,0,8,59.999680711152095
86,2000,1.25,0,8,56.9424897542498
87,2000,1.25,0,8,55.45379487085862
88,2000,1.25,0,8,58.55770787841957
89,2000,1.25,0,8,55.35455282095757
90,2000,1.25,0,8,53.046668556509765
91,2000,1.25,0,8,53.11717905617841
92,2000,1.25,0,8,51.51481255949582
93,2000,1.25,0,8,48.186998938607424
94,2000,1.25,0,8,49.29097078878726
95,2000,1.25,0,8,46.33326997570664
96,2000,1.25,0,8,42.538971395033606
97,2000,1.25,0,8,41.7748283316609
98,2000,1.25,0,8,38.542211260623844
99,2000,1.25,0,8,35.35080107610711
100,2000,1.25,0,8,35.14253789282169
101,2000,1.25,0,8,31.857510226620025
102,2000,1.25,0,8,29.436164170927487
103,2000,1.25,0,8,25.509502418294087
104,2000,1.25,0,8,23.945204901316
105,2000,1.25,0,8,21.661499999999986
106,2000,1.25,1,7,18.629750455970058
107,2000,1.25,1,7,16.207195875430383
108,2000,1.25,0,8,15.080175000000002
109,2000,1.25,0,8,12.512536133146124
110,2000,1.25,3,5,10.50047694913258
111,2000,1.25,1,7,10.249523041729883
112,2000,1.25,0,8,8.512175000000008
113,2000,1.25,0,8,6.406393749999998
114,2000,1.25,0,8,6.08154375
115,2000,1.25,0,8,4.8932500000000045
116,2000,1.25,5,3,3.6521401399933735
117,2000,1.25,4,4,3.3503111705681623
118,2000,1.25,1,7,2.8407819445213867
119,2000,1.25,2,6,1.9784000796042442
120,2000,1.25,0,8,1.5405000000000015
121,2000,1.25,0,8,1.1740781249999992
122,2000,1.25,7,1,1.0659749999999997
123,2000,1.25,0,8,0.9125062500000012
124,2000,1.25,8,0,0.7343124999999998
125,2000,1.25,2,6,0.5671875
126,2000,1.25,7,1,0.3378375000000001
127,2000,1.25,8,0,0.2587625000000001
128,2000,1.25,0,8,0.1312000000000001
129,2000,1.25,7,1,0.12819375000000016
